Time in s;CH 2 BITBUS;Time in 250ns TICS;Delta TICs;TIME in ps;Delta in ps;;
0;1;0;;;;;
0.000139952;0;560;560;139952;139952;"#139952 com_rxin = 0;";
0.000146016;1;584;24;146016;6064;"#6064 com_rxin = 1;";
0.000148704;0;595;11;148704;2688;"#2688 com_rxin = 0;";
0.000151348;1;605;10;151348;2644;"#2644 com_rxin = 1;";
0.000154036;0;616;11;154036;2688;"#2688 com_rxin = 0;";
0.00015668;1;627;11;156680;2644;"#2644 com_rxin = 1;";
0.000159372;0;637;10;159372;2692;"#2692 com_rxin = 0;";
0.000162012;1;648;11;162012;2640;"#2640 com_rxin = 1;";
0.000164704;0;659;11;164704;2692;"#2692 com_rxin = 0;";
0.000167348;1;669;10;167348;2644;"#2644 com_rxin = 1;";
0.000170036;0;680;11;170036;2688;"#2688 com_rxin = 0;";
0.00017268;1;691;11;172680;2644;"#2644 com_rxin = 1;";
0.000175372;0;701;10;175372;2692;"#2692 com_rxin = 0;";
0.000178012;1;712;11;178012;2640;"#2640 com_rxin = 1;";
0.000180704;0;723;11;180704;2692;"#2692 com_rxin = 0;";
0.000183348;1;733;10;183348;2644;"#2644 com_rxin = 1;";
0.000186036;0;744;11;186036;2688;"#2688 com_rxin = 0;";
0.00018868;1;755;11;188680;2644;"#2644 com_rxin = 1;";
0.000207372;0;829;74;207372;18692;"#18692 com_rxin = 0;";
0.000210016;1;840;11;210016;2644;"#2644 com_rxin = 1;";
0.000212704;0;851;11;212704;2688;"#2688 com_rxin = 0;";
0.000215348;1;861;10;215348;2644;"#2644 com_rxin = 1;";
0.000223372;0;893;32;223372;8024;"#8024 com_rxin = 0;";
0.000226016;1;904;11;226016;2644;"#2644 com_rxin = 1;";
0.000228704;0;915;11;228704;2688;"#2688 com_rxin = 0;";
0.000231348;1;925;10;231348;2644;"#2644 com_rxin = 1;";
0.000234036;0;936;11;234036;2688;"#2688 com_rxin = 0;";
0.00023668;1;947;11;236680;2644;"#2644 com_rxin = 1;";
0.000239372;0;957;10;239372;2692;"#2692 com_rxin = 0;";
0.000244684;1;979;22;244684;5312;"#5312 com_rxin = 1;";
0.000247372;0;989;10;247372;2688;"#2688 com_rxin = 0;";
0.000250016;1;1000;11;250016;2644;"#2644 com_rxin = 1;";
0.000252704;0;1011;11;252704;2688;"#2688 com_rxin = 0;";
0.000255348;1;1021;10;255348;2644;"#2644 com_rxin = 1;";
0.00025804;0;1032;11;258040;2692;"#2692 com_rxin = 0;";
0.000260684;1;1043;11;260684;2644;"#2644 com_rxin = 1;";
0.000263372;0;1053;10;263372;2688;"#2688 com_rxin = 0;";
0.000266016;1;1064;11;266016;2644;"#2644 com_rxin = 1;";
0.000268704;0;1075;11;268704;2688;"#2688 com_rxin = 0;";
0.000271348;1;1085;10;271348;2644;"#2644 com_rxin = 1;";
0.000274036;0;1096;11;274036;2688;"#2688 com_rxin = 0;";
0.000279352;1;1117;21;279352;5316;"#5316 com_rxin = 1;";
0.000284704;0;1139;22;284704;5352;"#5352 com_rxin = 0;";
0.000287348;1;1149;10;287348;2644;"#2644 com_rxin = 1;";
0.00029004;0;1160;11;290040;2692;"#2692 com_rxin = 0;";
0.000292684;1;1171;11;292684;2644;"#2644 com_rxin = 1;";
0.000295372;0;1181;10;295372;2688;"#2688 com_rxin = 0;";
0.000298016;1;1192;11;298016;2644;"#2644 com_rxin = 1;";
0.000300704;0;1203;11;300704;2688;"#2688 com_rxin = 0;";
0.000303348;1;1213;10;303348;2644;"#2644 com_rxin = 1;";
0.000308708;0;1235;22;308708;5360;"#5360 com_rxin = 0;";
